Date,Iterations,LocIterations,Lambda,TrainSize,TimeFit(sec),Accuracy
2023-01-27 22:01:50, 30, 60, 0.20, 60000, 89.60, 0.7176 
2023-01-27 22:02:55, 30, 90, 0.20, 60000, 64.93, 0.6685 
2023-01-27 22:04:06, 30, 120, 0.20, 60000, 70.61, 0.7416 
2023-01-27 22:05:11, 30, 150, 0.20, 60000, 64.54, 0.6771 
2023-01-27 22:06:12, 30, 180, 0.20, 60000, 61.33, 0.7305 
2023-01-27 22:07:14, 30, 60, 0.40, 60000, 61.49, 0.7638 
2023-01-27 22:08:14, 30, 90, 0.40, 60000, 59.26, 0.7372 
2023-01-27 22:09:12, 30, 120, 0.40, 60000, 58.67, 0.7763 
2023-01-27 22:10:04, 30, 150, 0.40, 60000, 51.42, 0.7539 
2023-01-27 22:11:00, 30, 180, 0.40, 60000, 55.42, 0.7110 
2023-01-27 22:11:46, 30, 60, 0.60, 60000, 45.93, 0.6613 
2023-01-27 22:12:35, 30, 90, 0.60, 60000, 48.63, 0.7658 
2023-01-27 22:13:31, 30, 120, 0.60, 60000, 55.92, 0.7510 
2023-01-27 22:14:24, 30, 150, 0.60, 60000, 52.67, 0.7363 
2023-01-27 22:15:18, 30, 180, 0.60, 60000, 54.14, 0.7792 
2023-01-27 22:16:05, 30, 60, 0.80, 60000, 46.46, 0.6158 
2023-01-27 22:16:50, 30, 90, 0.80, 60000, 44.76, 0.6840 
2023-01-27 22:17:42, 30, 120, 0.80, 60000, 51.59, 0.7439 
2023-01-27 22:18:34, 30, 150, 0.80, 60000, 52.26, 0.7710 
2023-01-27 22:19:30, 30, 180, 0.80, 60000, 55.34, 0.7004 
2023-01-27 22:20:20, 45, 60, 0.20, 60000, 50.18, 0.7284 
2023-01-27 22:21:09, 45, 90, 0.20, 60000, 48.54, 0.6763 
2023-01-27 22:22:01, 45, 120, 0.20, 60000, 51.18, 0.7560 
2023-01-27 22:22:56, 45, 150, 0.20, 60000, 54.74, 0.6716 
2023-01-27 22:23:53, 45, 180, 0.20, 60000, 57.14, 0.6227 
2023-01-27 22:24:43, 45, 60, 0.40, 60000, 49.28, 0.7188 
2023-01-27 22:25:45, 45, 90, 0.40, 60000, 61.84, 0.7724 
2023-01-27 22:26:40, 45, 120, 0.40, 60000, 54.89, 0.7261 
2023-01-27 22:27:35, 45, 150, 0.40, 60000, 54.93, 0.6832 
2023-01-27 22:28:34, 45, 180, 0.40, 60000, 58.44, 0.7797 
2023-01-27 22:29:25, 45, 60, 0.60, 60000, 51.20, 0.7481 
2023-01-27 22:30:16, 45, 90, 0.60, 60000, 50.82, 0.7562 
2023-01-27 22:31:15, 45, 120, 0.60, 60000, 58.30, 0.7764 
2023-01-27 22:32:09, 45, 150, 0.60, 60000, 53.75, 0.7792 
2023-01-27 22:33:05, 45, 180, 0.60, 60000, 56.02, 0.7691 
2023-01-27 22:33:50, 45, 60, 0.80, 60000, 44.94, 0.7019 
2023-01-27 22:34:38, 45, 90, 0.80, 60000, 47.34, 0.7737 
2023-01-27 22:35:28, 45, 120, 0.80, 60000, 50.32, 0.7811 
2023-01-27 22:36:23, 45, 150, 0.80, 60000, 54.30, 0.7748 
2023-01-27 22:37:21, 45, 180, 0.80, 60000, 58.13, 0.7961 
2023-01-27 22:38:10, 60, 60, 0.20, 60000, 48.03, 0.7723 
2023-01-27 22:39:05, 60, 90, 0.20, 60000, 54.68, 0.7606 
2023-01-27 22:40:10, 60, 120, 0.20, 60000, 65.12, 0.7298 
2023-01-27 22:41:23, 60, 150, 0.20, 60000, 72.87, 0.6397 
2023-01-27 22:42:28, 60, 180, 0.20, 60000, 64.56, 0.6999 
2023-01-27 22:43:17, 60, 60, 0.40, 60000, 49.05, 0.7855 
2023-01-27 22:44:15, 60, 90, 0.40, 60000, 57.46, 0.7748 
2023-01-27 22:45:23, 60, 120, 0.40, 60000, 68.04, 0.7619 
2023-01-27 22:46:23, 60, 150, 0.40, 60000, 59.31, 0.7357 
2023-01-27 22:47:29, 60, 180, 0.40, 60000, 65.49, 0.7075 
2023-01-27 22:48:22, 60, 60, 0.60, 60000, 53.15, 0.7517 
2023-01-27 22:49:18, 60, 90, 0.60, 60000, 56.32, 0.7921 
2023-01-27 22:50:20, 60, 120, 0.60, 60000, 61.15, 0.7842 
2023-01-27 22:51:26, 60, 150, 0.60, 60000, 65.72, 0.7967 
2023-01-27 22:52:34, 60, 180, 0.60, 60000, 68.28, 0.7701 
2023-01-27 22:53:29, 60, 60, 0.80, 60000, 53.93, 0.7265 
2023-01-27 22:54:21, 60, 90, 0.80, 60000, 52.03, 0.7680 
2023-01-27 22:55:23, 60, 120, 0.80, 60000, 61.83, 0.7900 
2023-01-27 22:56:24, 60, 150, 0.80, 60000, 61.00, 0.7959 
2023-01-27 22:57:27, 60, 180, 0.80, 60000, 62.70, 0.7877 
